site,id,event,event_code,year,first_yes_doy,tag
HARV,NEON.PLA.D01.HARV.06011,colored_leaf,4,2014,223,training
HARV,NEON.PLA.D01.HARV.06033,first_leaf,1,2014,122,training
HARV,NEON.PLA.D01.HARV.06033,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06033,fallen_leaf,5,2014,136,training
HARV,NEON.PLA.D01.HARV.06033,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06033,colored_leaf,4,2014,223,training
HARV,NEON.PLA.D01.HARV.06069,first_leaf,1,2014,115,training
HARV,NEON.PLA.D01.HARV.06069,full_leaf,3,2014,136,training
HARV,NEON.PLA.D01.HARV.06030,first_leaf,1,2014,122,training
HARV,NEON.PLA.D01.HARV.06030,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06030,fallen_leaf,5,2014,254,training
HARV,NEON.PLA.D01.HARV.06030,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06030,colored_leaf,4,2014,245,training
HARV,NEON.PLA.D01.HARV.06021,first_leaf,1,2014,129,training
HARV,NEON.PLA.D01.HARV.06021,young_leaf,2,2014,134,training
HARV,NEON.PLA.D01.HARV.06021,fallen_leaf,5,2014,282,training
HARV,NEON.PLA.D01.HARV.06021,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06021,colored_leaf,4,2014,232,training
HARV,NEON.PLA.D01.HARV.06005,first_leaf,1,2014,132,training
HARV,NEON.PLA.D01.HARV.06005,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06005,fallen_leaf,5,2014,266,training
HARV,NEON.PLA.D01.HARV.06005,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06005,colored_leaf,4,2014,223,training
HARV,NEON.PLA.D01.HARV.06084,first_leaf,1,2014,118,training
HARV,NEON.PLA.D01.HARV.06008,first_leaf,1,2014,118,training
HARV,NEON.PLA.D01.HARV.06008,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06008,fallen_leaf,5,2014,266,training
HARV,NEON.PLA.D01.HARV.06008,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06008,colored_leaf,4,2014,245,training
HARV,NEON.PLA.D01.HARV.06024,first_leaf,1,2014,127,training
HARV,NEON.PLA.D01.HARV.06024,young_leaf,2,2014,134,training
HARV,NEON.PLA.D01.HARV.06024,fallen_leaf,5,2014,266,training
HARV,NEON.PLA.D01.HARV.06024,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06024,colored_leaf,4,2014,223,training
HARV,NEON.PLA.D01.HARV.06023,first_leaf,1,2014,129,training
HARV,NEON.PLA.D01.HARV.06023,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06023,fallen_leaf,5,2014,282,training
HARV,NEON.PLA.D01.HARV.06023,full_leaf,3,2014,143,training
HARV,NEON.PLA.D01.HARV.06023,colored_leaf,4,2014,218,training
HARV,NEON.PLA.D01.HARV.06012,first_leaf,1,2014,129,training
HARV,NEON.PLA.D01.HARV.06012,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06012,fallen_leaf,5,2014,294,training
HARV,NEON.PLA.D01.HARV.06012,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06012,colored_leaf,4,2014,223,training
HARV,NEON.PLA.D01.HARV.06036,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06036,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06036,fallen_leaf,5,2014,247,training
HARV,NEON.PLA.D01.HARV.06036,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06036,colored_leaf,4,2014,245,training
HARV,NEON.PLA.D01.HARV.06066,first_leaf,1,2014,120,training
HARV,NEON.PLA.D01.HARV.06017,first_leaf,1,2014,122,training
HARV,NEON.PLA.D01.HARV.06017,young_leaf,2,2014,129,training
HARV,NEON.PLA.D01.HARV.06017,fallen_leaf,5,2014,266,training
HARV,NEON.PLA.D01.HARV.06017,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06017,colored_leaf,4,2014,226,training
HARV,NEON.PLA.D01.HARV.06094,first_leaf,1,2014,127,training
HARV,NEON.PLA.D01.HARV.06094,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06094,fallen_leaf,5,2014,266,training
HARV,NEON.PLA.D01.HARV.06094,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06094,colored_leaf,4,2014,245,training
HARV,NEON.PLA.D01.HARV.06049,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06049,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06049,fallen_leaf,5,2014,268,training
HARV,NEON.PLA.D01.HARV.06049,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06049,colored_leaf,4,2014,251,training
HARV,NEON.PLA.D01.HARV.06050,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06050,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06050,fallen_leaf,5,2014,276,training
HARV,NEON.PLA.D01.HARV.06050,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06050,colored_leaf,4,2014,268,training
HARV,NEON.PLA.D01.HARV.06087,first_leaf,1,2014,115,training
HARV,NEON.PLA.D01.HARV.06087,full_leaf,3,2014,136,training
HARV,NEON.PLA.D01.HARV.06085,first_leaf,1,2014,120,training
HARV,NEON.PLA.D01.HARV.06085,full_leaf,3,2014,136,training
HARV,NEON.PLA.D01.HARV.06091,first_leaf,1,2014,120,training
HARV,NEON.PLA.D01.HARV.06062,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06062,full_leaf,3,2014,161,training
HARV,NEON.PLA.D01.HARV.06006,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06006,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06006,fallen_leaf,5,2014,273,training
HARV,NEON.PLA.D01.HARV.06006,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06006,colored_leaf,4,2014,247,training
HARV,NEON.PLA.D01.HARV.06031,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06031,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06031,fallen_leaf,5,2014,273,training
HARV,NEON.PLA.D01.HARV.06031,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06031,colored_leaf,4,2014,245,training
HARV,NEON.PLA.D01.HARV.06014,first_leaf,1,2014,129,training
HARV,NEON.PLA.D01.HARV.06014,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06014,fallen_leaf,5,2014,294,training
HARV,NEON.PLA.D01.HARV.06014,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06014,colored_leaf,4,2014,247,training
HARV,NEON.PLA.D01.HARV.06010,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06010,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06010,fallen_leaf,5,2014,294,training
HARV,NEON.PLA.D01.HARV.06010,full_leaf,3,2014,143,training
HARV,NEON.PLA.D01.HARV.06010,colored_leaf,4,2014,245,training
HARV,NEON.PLA.D01.HARV.06082,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06082,full_leaf,3,2014,134,training
HARV,NEON.PLA.D01.HARV.06020,first_leaf,1,2014,134,training
HARV,NEON.PLA.D01.HARV.06020,young_leaf,2,2014,136,training
HARV,NEON.PLA.D01.HARV.06020,fallen_leaf,5,2014,254,training
HARV,NEON.PLA.D01.HARV.06020,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06020,colored_leaf,4,2014,273,training
HARV,NEON.PLA.D01.HARV.06032,first_leaf,1,2014,108,training
HARV,NEON.PLA.D01.HARV.06032,young_leaf,2,2014,127,training
HARV,NEON.PLA.D01.HARV.06032,fallen_leaf,5,2014,268,training
HARV,NEON.PLA.D01.HARV.06032,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06032,colored_leaf,4,2014,223,training
HARV,NEON.PLA.D01.HARV.06079,first_leaf,1,2014,120,validation_spatial
HARV,NEON.PLA.D01.HARV.06068,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06068,full_leaf,3,2014,139,training
HARV,NEON.PLA.D01.HARV.06009,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06009,young_leaf,2,2014,129,training
HARV,NEON.PLA.D01.HARV.06009,fallen_leaf,5,2014,282,training
HARV,NEON.PLA.D01.HARV.06009,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06009,colored_leaf,4,2014,230,training
HARV,NEON.PLA.D01.HARV.06081,first_leaf,1,2014,120,training
HARV,NEON.PLA.D01.HARV.06081,full_leaf,3,2014,139,training
HARV,NEON.PLA.D01.HARV.06003,first_leaf,1,2014,127,training
HARV,NEON.PLA.D01.HARV.06003,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06003,fallen_leaf,5,2014,294,training
HARV,NEON.PLA.D01.HARV.06003,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06003,colored_leaf,4,2014,268,training
