site,date,evi,tag
SJER,2010-10-24,0.3646,training
HARV,2010-11-09,0.2467,training
SJER,2010-11-09,0.4311,training
HARV,2010-11-25,0.29200000000000004,training
SJER,2010-11-25,0.4089,training
HARV,2010-12-11,0.1226,training
SJER,2010-12-11,0.3561,training
HARV,2010-12-27,0.33290000000000003,training
SJER,2010-12-27,0.4053,training
SJER,2011-01-09,0.3811,training
HARV,2011-01-25,0.1879,training
SJER,2011-01-25,0.3918,training
HARV,2011-02-10,0.2037,training
SJER,2011-02-10,0.458,training
HARV,2011-02-26,0.25730000000000003,training
SJER,2011-02-26,0.3965,training
HARV,2011-03-14,0.2245,training
SJER,2011-03-14,0.4204,training
HARV,2011-03-30,0.25270000000000004,training
SJER,2011-03-30,0.3843,training
HARV,2011-04-15,0.235,training
SJER,2011-04-15,0.3768,training
HARV,2011-05-01,0.3932,training
SJER,2011-05-01,0.3613,training
HARV,2011-05-17,0.6642,training
SJER,2011-05-17,0.2491,training
HARV,2011-06-02,0.6994,training
SJER,2011-06-02,0.2218,training
HARV,2011-06-18,0.609,training
SJER,2011-06-18,0.2369,training
HARV,2011-07-04,0.6617000000000001,training
SJER,2011-07-04,0.2298,training
HARV,2011-07-20,0.6165,training
SJER,2011-07-20,0.2149,training
HARV,2011-08-05,0.678,training
SJER,2011-08-05,0.1972,training
HARV,2011-08-21,0.5854,training
SJER,2011-08-21,0.1865,training
HARV,2011-09-06,0.5135000000000001,training
SJER,2011-09-06,0.17370000000000002,training
HARV,2011-09-22,0.4744,training
SJER,2011-09-22,0.1895,training
HARV,2011-10-08,0.4751,training
SJER,2011-10-08,0.28800000000000003,training
HARV,2011-10-24,0.32180000000000003,training
SJER,2011-10-24,0.2319,training
HARV,2011-11-09,0.305,training
SJER,2011-11-09,0.3624,training
HARV,2011-11-25,0.2637,training
SJER,2011-11-25,0.32320000000000004,training
HARV,2011-12-11,0.2601,training
SJER,2011-12-11,0.2671,training
HARV,2011-12-27,0.3346,training
SJER,2011-12-27,0.2441,training
HARV,2012-01-09,0.2889,training
SJER,2012-01-09,0.2234,training
HARV,2012-01-25,0.2535,training
SJER,2012-01-25,0.2584,training
HARV,2012-02-10,0.2261,training
SJER,2012-02-10,0.2846,training
HARV,2012-02-26,0.258,training
SJER,2012-02-26,0.31120000000000003,training
HARV,2012-03-13,0.30760000000000004,training
SJER,2012-03-13,0.3262,training
HARV,2012-03-29,0.276,training
SJER,2012-03-29,0.3609,training
HARV,2012-04-14,0.2851,training
SJER,2012-04-14,0.3945,training
HARV,2012-04-30,0.4406000000000001,training
SJER,2012-04-30,0.3005,training
HARV,2012-05-16,0.6042000000000001,training
SJER,2012-05-16,0.229,training
HARV,2012-06-01,0.6287,training
SJER,2012-06-01,0.2224,training
HARV,2012-06-17,0.6361,training
SJER,2012-06-17,0.212,training
HARV,2012-07-03,0.7068,training
SJER,2012-07-03,0.2157,training
HARV,2012-07-19,0.6631,training
SJER,2012-07-19,0.2149,training
HARV,2012-08-04,0.5729000000000001,training
SJER,2012-08-04,0.224,training
HARV,2012-08-20,0.5639000000000001,training
SJER,2012-08-20,0.2109,training
HARV,2012-09-05,0.5306000000000001,training
SJER,2012-09-05,0.1947,training
HARV,2012-09-21,0.3918,training
SJER,2012-09-21,0.2039,training
HARV,2012-10-07,0.422,training
SJER,2012-10-07,0.2109,training
HARV,2012-10-23,0.219,training
SJER,2012-10-23,0.2045,training
HARV,2012-11-08,0.2772,training
SJER,2012-11-08,0.2127,training
HARV,2012-11-24,0.244,training
SJER,2012-11-24,0.2464,training
HARV,2012-12-10,0.2455,training
SJER,2012-12-10,0.30410000000000004,training
HARV,2012-12-26,0.3249,training
SJER,2012-12-26,0.3088,training
HARV,2013-01-09,0.224,training
SJER,2013-01-09,0.3038,training
HARV,2013-01-25,0.1085,training
SJER,2013-01-25,0.3482,training
HARV,2013-02-10,0.1584,training
SJER,2013-02-10,0.3294,training
HARV,2013-02-26,0.1592,training
SJER,2013-02-26,0.3612,training
HARV,2013-03-14,0.1637,training
SJER,2013-03-14,0.3845,training
HARV,2013-03-30,0.25470000000000004,training
SJER,2013-03-30,0.33130000000000004,training
HARV,2013-04-15,0.2392,training
SJER,2013-04-15,0.2989,training
HARV,2013-05-01,0.302,training
SJER,2013-05-01,0.254,training
HARV,2013-05-17,0.6387,training
SJER,2013-05-17,0.2109,training
HARV,2013-06-02,0.5768,training
SJER,2013-06-02,0.208,training
HARV,2013-06-18,0.6985,training
SJER,2013-06-18,0.218,training
HARV,2013-07-04,0.5971000000000001,training
SJER,2013-07-04,0.1977,training
HARV,2013-07-20,0.6733,training
SJER,2013-07-20,0.2287,training
HARV,2013-08-05,0.5801000000000001,training
SJER,2013-08-05,0.198,training
HARV,2013-08-21,0.5274,training
SJER,2013-08-21,0.2004,training
HARV,2013-09-06,0.5492,training
SJER,2013-09-06,0.1941,training
HARV,2013-09-22,0.5652,training
SJER,2013-09-22,0.1947,training
HARV,2013-10-08,0.4401000000000001,training
SJER,2013-10-08,0.2057,training
HARV,2013-10-24,0.27990000000000004,training
SJER,2013-10-24,0.2061,training
HARV,2013-11-09,0.2349,training
SJER,2013-11-09,0.217,training
